Text,Category
"Thank you so much for this introduction and I'm extremely happy to be here visiting my friend Roman Torbeck with whom we've been working for a long time now and through this project, jointly with FNR in Luxembourg, FW in Belgium and the Funding Council here in Slovenia",Discussion
"So first of all, I'd like to thank most of the collaborators are not written here, but these are the main people I would like to thank them deeply, because without these collaborators I would not be showing anything today",Discussion
"Sunburg to come if you are from anywhere in the world, because this is extremely international, there are more than 170 nationalities in the country",Discussion
Place which is growing pretty nicely,Discussion
"Zoom out, you see where I was born, which is the Paris region",Discussion
Zooming back where we are in Luxembourg at the moment is at the South here,Discussion
"Their research efforts, so if you compare Luxembourg tool Slovenia in terms of size you see, Slovenia is about 20,000 kilometers squared for 2 million people",Discussion
This is just a little olm that we didn't mean,Discussion
"That's yesterday night, so I needed a little stroll so I decided to go and climb at the top of the Castle",Decision
Really coming back and thanks to this Castle now I made some progress in the climbing challenge on straw,Discussion
And you will see later why I'm boring you with this,Action Item
"OK, so today I'm going to talk at the interface between medicine and mechanics and just to give you an idea, if you develop a new drug developing a new drug is about 4 billion dollars and it can go up to 11 billion dollars",Discussion
"Today I'll be talking about things that are related to the first page of The Economist, which that was two days ago, which is called Doctor U and not Doctor Who",Discussion
"Missed Journal is that basically, if you probably know that Apple, Amazon and everybody else all these Giants have been starting to jump into the area of health care because they figure out that perhaps they can make healthcare more efficient than the way it is done at the moment",Discussion
"And then probably you have also such a watch and maybe you don't, but that's what I used yesterday to make to record my climb up the",Discussion
And this is what where I start about what we do in in my group is to come up with ways to help medics make more informed decisions so that can start at the moment when medics and surgeons are trained,Discussion
Prerequisite so I'm now showing you,Discussion
"That understanding how to help surgeons can be really useful, so we work with neurosurgeons, for example",Discussion
"So first of all, I'd like to get some, let's say terminology, right",Discussion
We are solving so it may be conduction,Discussion
On material models then you need geometry and boundary conditions,Discussion
"That is the next step, and once you have done that, this is the tongue problem",Discussion
This is the hardest thing,Discussion
"Is the second problem, and finally",Discussion
"And finally, you commit a numerical error about which you cannot do much",Discussion
"There's not much you can do except calling higher precision, which usually you cannot afford computationally, and then what you see when you do validation, which is comparison with experiments is you see the total error",Discussion
"In order also to fix ideas, we call validation asking the question are we solving the right problem and we call verification",Discussion
"Yeah, but you see here, if you look back in time about Aerospace 1903, the Wright Flyer was built and you probably know the store",Discussion
Read that Wilbur they are brothers right,Discussion
"And what does this 20,000 years mean in your opinion",Discussion
"And if you look at data, you see what, let's say, 1300 commercial jet aircraft will losts in about let's say 50 years 1959 to 2000",Action Item
"And if you look at the decrease, it's quite exponential",Discussion
Come by accident is because we learned from intuition and theory,Discussion
"It was done by hand, but afterwards doing things by hand didn't work very well",Discussion
"Of course, we learned from experiments, so this is a huge wind tunnel which was used to design various airbuses",Discussion
"Where they are already and then people said OK, I don't like aluminum because this is quite heavy",Discussion
"Significant, but the problem is they also lead to huge complexities",Discussion
